id,prompt,A,B,C,D,E,answer
441,Give an example of a multi-valued treatment.,The effect of different levels of program participation in a job training program.,The effect of different doses of medication on a patient.,The effect of different types of exercise on weight loss.,The effect of different educational backgrounds on job performance.,The effect of different marketing strategies on sales.,A
442,How are potential outcomes under a multi-valued treatment denoted?,Y(j),Y[T],Y(j),Y{t},Y(t),A
443,What is the observed outcome denoted as in the context of multi-valued treatments?,Y,D,T,J,R,A
444,What is the indicator that represents the treatment level in causal inference?,J,T,D,R,Y,C
445,What is the main focus of civil engineering students?,Construction procedures and methods,Design work and analysis,Project management and personnel management,Cost analysis and risk management,Construction management and allocation of funds,B
446,What is the main concern of construction engineers?,Delivering projects on time and within budget,Designing infrastructure such as roadways and tunnels,Managing construction procedures and methods,Overseeing risk analysis and costing,Allocating funds for construction projects,A
447,What is the primary focus of education for construction engineers?,Construction procedures and methods,Design work and analysis,Project management and personnel management,Cost analysis and risk management,Construction management and allocation of funds,C
448,What kind of projects do construction engineers oversee?,"Bridges, buildings, and housing projects","Roadways, tunnels, and airports","Facilities, dams, and utilities","Railroads, facilities, and buildings",Infrastructure projects of all kinds,A
449,What skills do construction engineers utilize in their work?,"Business, technical, and management skills",Analytical and design skills,Risk analysis and costing skills,Construction procedures and methods skills,Allocation of funds and planning skills,A
450,What is a simulacrum?,A representation of a person or thing,A type of statue or painting,An inferior image without substance,An imitation of a god,A type of artistic technique,A
451,"When was the word ""simulacrum"" first recorded in the English language?",16th century,17th century,18th century,19th century,20th century,A
452,"What association did the word ""simulacrum"" gather by the late 19th century?",Superiority,Originality,Inferiority,Authenticity,Quality,C
453,Which art form does Fredric Jameson give as an example of artistic simulacrum?,Trompe-l'œil,Pop art,Italian neorealism,French New Wave,Photorealism,E
454,"According to Plato, what are the two kinds of image-making?",Faithful reproduction and inferior reproduction,Copying and imitation,Originality and imitation,Superior reproduction and inferior reproduction,Representation and likeness,A
455,What is an input kludge in computer programming?,A type of failure where simple user input is not handled,A security hole caused by mishandling user input,A method to detect user input problems through monkey testing,A technique to validate user input algorithms,A pattern for handling user input in software,A
456,Why are input kludges difficult to detect in unit tests?,They often require complex input strings,They are usually hidden in the code,They are not handled by the programmer,They are only found by end users,They are not considered a software failure,B
457,What is a common test to detect an input kludge problem?,Entering random text into the program,Using a monkey test to simulate user input,Typing a specific sequence of keys on the keyboard,Sending junk input to the program,Rolling one's hand across the computer keyboard,E
458,How can input kludges be remedied?,By using input validation algorithms,By performing monkey tests,By handling user input with reproducible actions,By avoiding buffer overflow security holes,By using ad hoc algorithms,A
