id,prompt,A,B,C,D,E,answer
343,Which book was the most important technology book of the 16th century?,De Re Metallica,The spinning wheel,The movable type printing press,The three-field system,The blast furnace,A
344,Who is known for the scientific method?,Francis Bacon,Galileo Galilei,Isaac Newton,Nicolaus Copernicus,Johannes Kepler,A
345,What is the purpose of protein purification?,To separate protein and non-protein parts of the mixture,To isolate one or a few proteins from a complex mixture,To study the structure and function of a protein of interest,To develop cost efficient and rapid protein purification methods,"To specify the function, structure and interactions of the protein of interest",D
346,Why is protein purification vital?,To separate protein and non-protein parts of the mixture,To isolate one or a few proteins from a complex mixture,To study the structure and function of a protein of interest,To develop cost efficient and rapid protein purification methods,"To specify the function, structure and interactions of the protein of interest",E
347,What are the separation steps in protein purification based on?,Differences in protein size,Physico-chemical properties of proteins,Binding affinity of proteins,Biological activity of proteins,All of the above,E
348,What is the most laborious aspect of protein purification?,Separating protein and non-protein parts of the mixture,Isolating one protein from all others,Studying the structure and function of a protein of interest,Developing cost efficient and rapid protein purification methods,"Specifying the function, structure and interactions of the protein of interest",B
349,What is the term used to describe the pure result of protein purification?,Protein manufacturing cost,Growth demand,Protein isolate,Protein purification methods,Complex mixture,C
350,What are some examples of companies that provide Software as a Service (SaaS)?,"Microsoft's Outlook, Word and Excel","Google's email service Gmail, Voice and Maps",Salesforce and Zendesk,"Facebook, LinkedIn, Instagram, Twitter and Parler","Amazon Web Services (AWS), Microsoft Azure Cloud Services, and GoDaddy hosting services",C
351,What are some examples of software components producing companies?,"Microsoft, Adobe Systems, Google","Panorama, Hyperion, and Siebel Systems","Syncfusion, DevExpress, Telerik",Salesforce,"Facebook, LinkedIn, Instagram, Twitter and Parler",C
352,What role is responsible for creating the technical specification and writing the software in a software company?,Business analysts,Software developers,Software testers,Technical writers,User experience designers,B
353,Who is usually called the Head Of Development in a software company?,Business analysts,Software developers,Software testers,Maintenance engineers,Consultants,B
354,What is the main purpose of a software company?,To provide IT infrastructure services,To develop custom software for other companies,To provide software components,To build consumer or enterprise software,To mobilize social media,D
355,What is the size of Jupiter's magnetosphere?,Up to one million kilometers in the Sun's direction and almost to the orbit of Saturn in the opposite direction,Up to seven million kilometers in the Sun's direction and almost to the orbit of Saturn in the opposite direction,Up to ten million kilometers in the Sun's direction and almost to the orbit of Uranus in the opposite direction,Up to five million kilometers in the Sun's direction and almost to the orbit of Neptune in the opposite direction,Up to three million kilometers in the Sun's direction and almost to the orbit of Mars in the opposite direction,B
356,What is the strength of Jupiter's magnetosphere compared to Earth's?,Jupiter's magnetosphere is weaker than Earth's magnetosphere,Jupiter's magnetosphere is stronger than Earth's magnetosphere by an order of magnitude,Jupiter's magnetosphere is the same as Earth's magnetosphere,Jupiter's magnetosphere is stronger than Earth's magnetosphere by two orders of magnitude,Jupiter's magnetosphere is weaker than Earth's magnetosphere by two orders of magnitude,B
357,What generates Jupiter's internal magnetic field?,Electrical currents in the planet's inner core,Electrical currents in the planet's outer core,Volcanic eruptions on Jupiter's moon Io,The rotation of the planet's crust,The interaction between Jupiter and its moon Ganymede,B
358,What forms around Jupiter due to volcanic eruptions on its moon Io?,A large torus made of liquid metallic hydrogen,A large torus made of sulfur dioxide gas,A large torus made of plasma,A large torus made of water ice,A large torus made of methane gas,B
